[train: 1, 50 / 30000] FPS: 21.6 (26.7)  ,  DataTime: 0.019 (0.004)  ,  ForwardTime: 0.069  ,  TotalTime: 0.093  ,  Loss/total: 34.45073  ,  Loss/giou: 1.15000  ,  Loss/l1: 0.28467  ,  Loss/location: 30.72736  ,  IoU: 0.08522
[train: 1, 100 / 30000] FPS: 24.0 (25.7)  ,  DataTime: 0.011 (0.004)  ,  ForwardTime: 0.069  ,  TotalTime: 0.083  ,  Loss/total: 22.13697  ,  Loss/giou: 1.07476  ,  Loss/l1: 0.23990  ,  Loss/location: 18.78798  ,  IoU: 0.13443
[train: 1, 150 / 30000] FPS: 24.9 (27.2)  ,  DataTime: 0.008 (0.003)  ,  ForwardTime: 0.069  ,  TotalTime: 0.080  ,  Loss/total: 16.84180  ,  Loss/giou: 1.03691  ,  Loss/l1: 0.21900  ,  Loss/location: 13.67296  ,  IoU: 0.16065
[train: 1, 200 / 30000] FPS: 25.3 (27.1)  ,  DataTime: 0.007 (0.003)  ,  ForwardTime: 0.069  ,  TotalTime: 0.079  ,  Loss/total: 13.80491  ,  Loss/giou: 0.98124  ,  Loss/l1: 0.19684  ,  Loss/location: 10.85823  ,  IoU: 0.20135
[train: 1, 250 / 30000] FPS: 25.7 (28.2)  ,  DataTime: 0.006 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.078  ,  Loss/total: 11.93664  ,  Loss/giou: 0.95814  ,  Loss/l1: 0.18563  ,  Loss/location: 9.09223  ,  IoU: 0.21702
[train: 1, 300 / 30000] FPS: 25.9 (27.7)  ,  DataTime: 0.006 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.077  ,  Loss/total: 10.68432  ,  Loss/giou: 0.94448  ,  Loss/l1: 0.17981  ,  Loss/location: 7.89630  ,  IoU: 0.22961
[train: 1, 350 / 30000] FPS: 26.1 (27.6)  ,  DataTime: 0.005 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.077  ,  Loss/total: 9.68374  ,  Loss/giou: 0.91862  ,  Loss/l1: 0.17209  ,  Loss/location: 6.98607  ,  IoU: 0.24937
[train: 1, 400 / 30000] FPS: 26.3 (23.4)  ,  DataTime: 0.005 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.076  ,  Loss/total: 8.97999  ,  Loss/giou: 0.91143  ,  Loss/l1: 0.16889  ,  Loss/location: 6.31269  ,  IoU: 0.25154
[train: 1, 450 / 30000] FPS: 26.3 (26.4)  ,  DataTime: 0.005 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.076  ,  Loss/total: 8.36628  ,  Loss/giou: 0.89284  ,  Loss/l1: 0.16286  ,  Loss/location: 5.76629  ,  IoU: 0.26674
[train: 1, 500 / 30000] FPS: 26.4 (27.8)  ,  DataTime: 0.005 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.076  ,  Loss/total: 7.89651  ,  Loss/giou: 0.88178  ,  Loss/l1: 0.15882  ,  Loss/location: 5.33885  ,  IoU: 0.27243
[train: 1, 550 / 30000] FPS: 26.5 (27.4)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 7.51332  ,  Loss/giou: 0.87496  ,  Loss/l1: 0.15594  ,  Loss/location: 4.98369  ,  IoU: 0.27616
[train: 1, 600 / 30000] FPS: 26.6 (28.0)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 7.15754  ,  Loss/giou: 0.86210  ,  Loss/l1: 0.15249  ,  Loss/location: 4.67087  ,  IoU: 0.28813
[train: 1, 650 / 30000] FPS: 26.6 (27.6)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 6.81539  ,  Loss/giou: 0.84159  ,  Loss/l1: 0.14714  ,  Loss/location: 4.39652  ,  IoU: 0.30396
[train: 1, 700 / 30000] FPS: 26.6 (27.2)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 6.56238  ,  Loss/giou: 0.83153  ,  Loss/l1: 0.14442  ,  Loss/location: 4.17723  ,  IoU: 0.31292
[train: 1, 750 / 30000] FPS: 26.6 (24.5)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 6.36269  ,  Loss/giou: 0.82888  ,  Loss/l1: 0.14273  ,  Loss/location: 3.99130  ,  IoU: 0.31460
[train: 1, 800 / 30000] FPS: 26.7 (27.8)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 6.17530  ,  Loss/giou: 0.82399  ,  Loss/l1: 0.14140  ,  Loss/location: 3.82032  ,  IoU: 0.31926
[train: 1, 850 / 30000] FPS: 26.7 (27.8)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 6.02016  ,  Loss/giou: 0.82323  ,  Loss/l1: 0.14106  ,  Loss/location: 3.66838  ,  IoU: 0.32029
[train: 1, 900 / 30000] FPS: 26.7 (28.3)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.85730  ,  Loss/giou: 0.81558  ,  Loss/l1: 0.13898  ,  Loss/location: 3.53122  ,  IoU: 0.32544
[train: 1, 950 / 30000] FPS: 26.7 (26.3)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.71470  ,  Loss/giou: 0.80919  ,  Loss/l1: 0.13722  ,  Loss/location: 3.41023  ,  IoU: 0.33027
[train: 1, 1000 / 30000] FPS: 26.7 (26.5)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.58926  ,  Loss/giou: 0.80631  ,  Loss/l1: 0.13616  ,  Loss/location: 3.29582  ,  IoU: 0.33292
[train: 1, 1050 / 30000] FPS: 26.7 (25.3)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.45763  ,  Loss/giou: 0.79867  ,  Loss/l1: 0.13433  ,  Loss/location: 3.18865  ,  IoU: 0.33928
[train: 1, 1100 / 30000] FPS: 26.6 (25.1)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.36475  ,  Loss/giou: 0.79761  ,  Loss/l1: 0.13369  ,  Loss/location: 3.10110  ,  IoU: 0.34056
[train: 1, 1150 / 30000] FPS: 26.6 (27.5)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.25978  ,  Loss/giou: 0.79254  ,  Loss/l1: 0.13230  ,  Loss/location: 3.01322  ,  IoU: 0.34435
[train: 1, 1200 / 30000] FPS: 26.6 (24.4)  ,  DataTime: 0.004 (0.003)  ,  ForwardTime: 0.068  ,  TotalTime: 0.075  ,  Loss/total: 5.16339  ,  Loss/giou: 0.78786  ,  Loss/l1: 0.13115  ,  Loss/location: 2.93194  ,  IoU: 0.34853
